customer_id,label,predicted_proba,predicted_label,explanation
SYNID0200006570,0.0,0.9707219,1,"Short hold time. Top features: High transaction_frequency_90d, Low median_hold_time_funds, High transaction_volume_90d, Satisfied is Holding Companies"
SYNID0200018308,0.0,0.0027829262,0,"Top features: Not satisfied is General Freight Trucking Industry, Not satisfied is Holding Companies"
SYNID0200018603,0.0,0.009184963,0,"Top features: Not satisfied is General Freight Trucking Industry, Not satisfied is Holding Companies"
SYNID0200027516,0.0,0.0015643352,0,"Top features: Not satisfied is General Freight Trucking Industry, Not satisfied is Holding Companies"
SYNID0200093716,0.0,0.0004040127,0,"Top features: Low transaction_frequency_90d, Low n_txn_total, Not satisfied is Holding Companies"
SYNID0200099912,0.0,0.0062384177,0,"Top features: Not satisfied is General Freight Trucking Industry, Not satisfied is Holding Companies"
SYNID0200143186,0.0,0.0003643637,0,"Top features: Low transaction_frequency_90d, Low n_txn_total, Not satisfied is Holding Companies"
SYNID0200143570,0.0,0.0033893806,0,"Short hold time. Top features: Low transaction_frequency_90d, Low n_txn_total, High days_since_last_transaction"
SYNID0200163281,0.0,0.013360521,0,"Top features: Not satisfied is General Freight Trucking Industry, Not satisfied is Holding Companies"
SYNID0200176428,0.0,0.00035506574,0,"Top features: Low transaction_frequency_90d, Low n_txn_total, Not satisfied is Holding Companies"
SYNID0200184466,0.0,0.0021572812,0,"Top features: Low transaction_frequency_90d, Low n_txn_total"
SYNID0200187014,1.0,0.7997941,1,"Short hold time, Many transactions of the same amount. Top features: Low median_hold_time_funds, High transaction_same_amount_frequency_90d, Satisfied is Offices of Lawyers and Notaries"
SYNID0200195508,0.0,0.0021087925,0,"Top features: Not satisfied is General Freight Trucking Industry, Not satisfied is Holding Companies"
SYNID0200213351,0.0,0.00030631752,0,"Top features: Low transaction_frequency_90d, Low n_txn_total, Not satisfied is Holding Companies"
SYNID0200219097,0.0,0.0003643637,0,"Top features: Low transaction_frequency_90d, Low n_txn_total, Not satisfied is Holding Companies"
SYNID0200232685,0.0,0.44209856,0,High variability in EMT transfers. Top features: Not satisfied is Holding Companies
SYNID0200255716,0.0,0.009250123,0,"Top features: Not satisfied is General Freight Trucking Industry, Not satisfied is Holding Companies"
SYNID0200265288,0.0,0.00035022316,0,"Top features: Low transaction_frequency_90d, Low n_txn_total, Not satisfied is Holding Companies"
SYNID0200268286,0.0,0.00956959,0,"Top features: Not satisfied is General Freight Trucking Industry, Not satisfied is Holding Companies"
SYNID0200297130,0.0,0.00034018472,0,"Top features: Low transaction_frequency_90d, Low n_txn_total, Not satisfied is Holding Companies"
SYNID0200302254,0.0,0.0016995805,0,"Top features: Not satisfied is General Freight Trucking Industry, Not satisfied is Holding Companies"
SYNID0200306637,0.0,0.0012002119,0,"Top features: Not satisfied is General Freight Trucking Industry, Not satisfied is Holding Companies"
SYNID0200317046,0.0,0.00095798145,0,Top features: Not satisfied is Holding Companies
SYNID0200339536,0.0,0.0034544244,0,"Top features: Not satisfied is General Freight Trucking Industry, Not satisfied is Holding Companies"
SYNID0200339926,0.0,0.0020439452,0,"Top features: Not satisfied is General Freight Trucking Industry, Not satisfied is Holding Companies"
SYNID0200344226,0.0,0.0009658769,0,Top features: Not satisfied is Holding Companies
SYNID0200356197,0.0,0.012026594,0,"Top features: Not satisfied is General Freight Trucking Industry, Not satisfied is Holding Companies"
SYNID0200372275,0.0,0.0012002119,0,"Top features: Not satisfied is General Freight Trucking Industry, Not satisfied is Holding Companies"
SYNID0200380018,0.0,0.024269875,0,"Top features: Low transaction_frequency_90d, Low cv_amt_emt"
SYNID0200398398,0.0,0.018482625,0,"Top features: Not satisfied is General Freight Trucking Industry, Not satisfied is Holding Companies"
SYNID0200419908,0.0,0.0012526667,0,"Top features: Not satisfied is General Freight Trucking Industry, Not satisfied is Holding Companies"
SYNID0200442841,0.0,0.0010117294,0,Top features: Not satisfied is Holding Companies
SYNID0200445595,0.0,0.0022226844,0,"Top features: Not satisfied is General Freight Trucking Industry, Not satisfied is Holding Companies"
SYNID0200465801,0.0,0.012371421,0,"Top features: Not satisfied is General Freight Trucking Industry, Not satisfied is Holding Companies"
SYNID0200492497,0.0,0.0004131782,0,"Top features: Low transaction_frequency_90d, Low n_txn_total, Not satisfied is Holding Companies"
SYNID0200496198,0.0,0.0010200674,0,Top features: Not satisfied is Holding Companies
SYNID0200496670,1.0,0.7514208,1,"High variability in EMT transfers. Top features: High transaction_volume_90d, High cv_amt_eft, Satisfied is Other Real Estate Operators"
SYNID0200499286,0.0,0.014346439,0,"Top features: Not satisfied is General Freight Trucking Industry, Not satisfied is Holding Companies"
SYNID0200503207,0.0,0.094082415,0,Top features: Low transaction_ecommerce_ratio
SYNID0200520608,0.0,0.002154602,0,"Top features: Not satisfied is General Freight Trucking Industry, Not satisfied is Holding Companies"
SYNID0200525992,0.0,0.36962798,0,
SYNID0200533256,0.0,0.0013222748,0,"Top features: Not satisfied is General Freight Trucking Industry, Not satisfied is Holding Companies"
