is General Freight Trucking Industry,is Offices of Lawyers and Notaries,is Other Financial Intermediaries n.e.c.,is Investment Companies,is Conventional Crude Oil and Natural Gas Industry,is Gas and Oil Pipelines,is Other Service Industries Incidental to Crude Petroleum and Natural Gas,is Other Real Estate Operators,"is Estate, Trust and Agency Funds",is Holding Companies,count_txn_below_threshold_frequency,max_transaction_frequency_90d,transaction_frequency_90d,n_txn_total,cv_amt_emt,mean_amt_emt,median_hold_time_funds,max_channel_share,business_age,transaction_same_amount_frequency_90d,n_txn_cheque,transaction_ecommerce_ratio,days_since_last_transaction,channel_debit_volume,transaction_round_amount_frequency_90d,transaction_frequency_7d,incoming_volume_7d,std_amt_card,transaction_volume_90d,sum_amt_total,channel_credit_volume,cv_amt_eft,sales,employee_count,std_amt_wire,n_txn_wu,sum_amt_abm,label
0,0,0,0,0,0,0,0,0,1,0.0,6,113,116,0.0,0.0,24.0,1.0,1827,0.0,116,0.0,1,182105.48,0.0,4,454.66,0.0,700145.03,848385.92,518039.55,0.0,,1.0,0.0,0,0.0,0.0
0,0,0,0,0,0,0,0,0,0,0.0,2,18,20,1.238559327,1815.5425,47.71694444,0.848555585,1873,0.0,1,0.016574855,11,1337.96,0.055555556,0,0.0,206.2643372,57014.52,57032.08,55676.56,2.185983837,118198.0,,0.0,0,210.0,0.0
0,0,0,0,0,0,0,0,0,0,0.0,3,36,36,0.109637349,228.635,58.44083333,0.953122101,4007,0.055555556,0,0.005564029,2,5601.98,0.055555556,1,0.0,499.2664383,9754.49,9754.49,4152.51,0.0,28622.0,1.0,0.0,0,0.0,0.0
0,0,0,0,0,0,0,0,0,0,0.0,3,17,17,0.0,442.32,240.0,0.791295456,1176,0.0,4,0.0,0,942.03,0.058823529,3,3492.33,74.85812111,44801.66,44801.66,43859.63,2.025065512,,5.0,0.0,0,0.0,0.0
0,0,0,0,0,0,0,0,0,0,0.0,1,6,6,0.0,0.0,480.0,1.0,16781,0.0,6,0.0,7,3095.6,0.0,0,0.0,0.0,4870.72,4870.72,1775.12,0.0,176437.0,,0.0,0,0.0,0.0
0,0,0,0,0,0,0,0,0,0,0.019607843,3,51,52,0.0,0.0,35.15583333,0.861992538,7094,0.0,25,0.094540574,1,61291.53,0.078431373,3,278.3,292.1537244,168778.54,168955.14,107487.01,0.0,322873.0,2.0,0.0,0,18320.0,0.0
0,0,0,0,0,0,0,0,0,0,0.0,1,1,1,0.0,0.0,0.0,1.0,4982,0.0,0,0.0,42,0.0,0.0,0,0.0,0.0,216.67,216.67,216.67,0.0,167004.0,1.0,0.0,0,0.0,0.0
0,0,0,0,0,0,0,0,0,1,0.0,1,2,3,1.330967529,502.63,0.0,1.0,616,0.0,0,0.0,60,103.44,0.0,0,0.0,0.0,232.93,1507.89,129.49,0.0,0.0,0.0,0.0,0,0.0,0.0
0,0,0,0,0,0,0,0,0,0,0.0,2,9,9,0.0,0.0,349.9126389,1.0,6271,0.0,0,0.0,11,247694.8,0.0,0,0.0,0.0,268846.09,268846.09,21151.29,2.71779506,1579739.0,6.0,0.0,0,0.0,0.0
0,0,0,0,0,0,0,0,0,0,0.0,1,2,2,0.0,0.0,0.0,0.956056994,8769,0.0,1,0.0,41,2621.35,0.0,0,0.0,0.0,2621.35,2621.35,0.0,0.0,152536.0,1.0,0.0,0,0.0,0.0
